wallet_address,total_pnl_usd,winrate,total_trades,roi_percentage,avg_trade_size,total_volume,consistency_score,token_metrics,risk_metrics,last_updated
J3M3pKgN7MA6a7A9WMy2KTn3upXjmRFjKAxavMfe3GqD,16190.329,61.643837,73,29.476526,331.4204,83877.57,0,[],{},2024-11-22 18:07:45.000000
2TvbfxZBR19zL3bpL8exW6CbeeEfa6UrHQK49HUpFhvV,102.70007,68.29269,41,53.391,1.9302438,401.11,0,[],{},2024-11-22 18:24:50.000000
2r66vwebkg5NVdWRwgEo7daFB1DfgR7JQd8kbfZBa6X8,286.33954,60.526318,38,27.322262,13.787106,2381.99,0,[],{},2024-11-22 18:31:02.000000
3opaU7djBHdRxczto82XBMSaYoWVtg1AmALLeYZb6Yjd,11991.787,74.46809,94,31.71989,190.9087,52526.88,0,[],{},2024-11-22 18:40:35.000000
54EKoXuGdQA3en2YXys5sCTKy4wzbd59wnSCpn5oLRQ5,331263.53,100.0,225,664.45764,139.0481,154105.86,0,[],{},2024-11-22 18:41:12.000000
3doK8A7oUzrNt1YuHivNteSUDj83mtov1gnj8AFQGpQo,109314.87,99.55556,225,111.44353,191.4117,80273.09,0,[],{},2024-11-22 18:41:27.000000
DXuzz9LXaFmEn2qQCpceDVMYToGskan5dDz4ZraZteVX,22221.426,73.30097,206,30.361645,241.4812,70070.27,0,[],{},2024-11-22 18:43:30.000000
GXZ46tvHXxLKRX96zqdTSquFkeJXWFzfrYhW8iyNetF4,5236.589,74.4186,43,57.645683,110.23686,24425.92,0,[],{},2024-11-22 18:50:09.000000
3CxDTN7RT5tKJE1gdPCPWSzX96Dy2pTE7tQ5FSSfbD7L,153.51112,68.42105,38,26.180136,7.234737,1243.65,0,[],{},2024-11-22 18:53:10.000000
DEMmmDVUFiq1RKdDGgAGNGEJTx8cEv5enpy4o6BV7VoK,16152.682,60.55777,251,29.405357,116.1601,38326.15,0,[],{},2024-11-22 18:59:08.000000
2QVdqATLfpnPDQb3mmH4a4ZTnsbANPo6ry2fEoEdMoAr,872.6803,76.190475,42,39.036297,15.302857,3072.69,0,[],{},2024-11-22 19:02:37.000000
E2yQEyuygHg2o3uiNGfYf59amaSWgTCGDQjpEFR29Xbt,12600.606,81.818184,33,109.79261,252.78076,51684.52,0,[],{},2024-11-22 19:04:32.000000
2AWyxaTiYUbBgyzkjtwsH1MeTksTVL25QGZNCgHgGicb,3271.5977,72.72727,33,30.011717,165.1653,25073.39,0,[],{},2024-11-22 19:09:30.000000
4iFzYFjuWheqwVp7p5nWtLSMAp4pQh9EasyBTm4qij8z,341.61914,64.51613,31,32.549587,14.305967,2062.71,0,[],{},2024-11-22 19:09:38.000000
EA9TnaqEZXq5VNGHuyV8169ydLWvJq5uAJiv43boLBBf,9039.445,74.1573,89,27.414751,224.7527,54056.24,0,[],{},2024-11-22 19:11:16.000000
8JzSZET1BedgoueerLJ5EfBniw7p1TcGGb77jHtr7eLH,10251.437,72.22222,90,32.45404,223.9952,55642.48,0,[],{},2024-11-22 19:11:17.000000
7WFVsbjviXhBRjjDJt8PNNXfjzKPaA7ZcMZcBCrmcFUs,144410.5,66.56977,344,44.13107,543.0712,245954.77,0,[],{},2024-11-22 19:25:56.000000
J5v4hejS2hRAeWcPoEsax2jTj4jJtmo7JNLxgijgpoN3,79269.08,88.58696,184,350.53635,5.0551,33572.83,0,[],{},2024-11-22 19:27:08.000000
6ekHbMRHhJV6JKtRMFQkd5PxBeebrVfjsd4fWsMkmWNA,5036.565,70.0,50,37.773308,152.9052,36356.86,0,[],{},2024-11-22 19:27:29.000000
Guy9ELdN9inV9NSk5fVWQy5ePcZFwsDPmYGTdzafkBfb,7814.4404,60.194176,103,37.583393,145.575,40682.73,0,[],{},2024-11-22 19:31:39.000000
EWvRE6s3XXrwomrTLNjjQs93WCL51YW3hP2eLfENw89Q,673.70245,97.297295,74,68.53034,6.9189,1976.89,0,[],{},2024-11-22 19:39:47.000000
8waNMAweBF9m6ikGkQdSJXSSjwx8tbZHKUjUnFbei6sD,4045.7017,63.157894,38,27.941172,230.325,39900.42,0,[],{},2024-11-22 19:42:40.000000
CVB75w824WmU22gJZYTM11RakEx6cqasHwnMDV5aCmYM,718.43866,60.416668,48,29.838423,35.137604,7753.03,0,[],{},2024-11-22 19:43:09.000000
